"x1","y1","x2","y2"
1704.050133,-2440.933735,1922.046876,-2579.79645
1704.050133,-2440.933735,1833.916104,-2398.643552
1546.390822,-2725.481266,1490.246796,-2760.74394
1546.390822,-2725.481266,1723.928885,-2802.237053
1546.390822,-2725.481266,1562.402794,-2665.015298
1912.799902,-2790.624719,2003.786277,-3019.392204
1912.799902,-2790.624719,1939.723613,-2704.958693
1912.799902,-2790.624719,1724.663995,-3053.345992
1608.491323,-3049.311027,1722.310983,-3073.131505
1608.491323,-3049.311027,1459.296897,-2939.662772
1608.491323,-3049.311027,1724.663995,-3053.345992
1412.813104,-2474.265225,1350.829129,-2427.417533
1412.813104,-2474.265225,1642.197228,-2480.755306
1303.017692,-3006.543457,1219.573143,-3155.502503
1303.017692,-3006.543457,1376.340175,-3019.344506
1303.017692,-3006.543457,1160.790565,-2951.523492
1609.448742,-2606.267713,1562.402794,-2665.015298
1609.448742,-2606.267713,1642.197228,-2480.755306
1609.448742,-2606.267713,1412.813104,-2474.265225
1068.854749,-2718.946173,997.734567,-2748.35297
1068.854749,-2718.946173,1104.258239,-2631.06842
1068.854749,-2718.946173,1183.445755,-2859.79749
1057.645614,-2444.580064,1038.48753,-2426.400547
1057.645614,-2444.580064,1104.258239,-2631.06842
1057.645614,-2444.580064,1048.765082,-2346.428514
1057.645614,-2444.580064,1350.829129,-2427.417533
409.488158,-3042.826636,609.735665,-3370.433793
360.019724,-2517.58931,231.172278,-2464.167924
120.86753,-3022.123784,45.412605,-3271.474037
80.481261,-2324.921826,231.172278,-2464.167924
292.840899,-3050.274599,263.963555,-3235.911678
292.840899,-3050.274599,409.488158,-3042.826636
455.546216,-2757.755083,360.019724,-2517.58931
739.809797,-2400.795576,818.063607,-2626.013459
739.809797,-2400.795576,825.717367,-2461.573122
370.83758,-2949.547604,409.488158,-3042.826636
370.83758,-2949.547604,455.546216,-2757.755083
528.662327,-3011.466181,734.085384,-3372.320265
528.662327,-3011.466181,409.488158,-3042.826636
528.662327,-3011.466181,370.83758,-2949.547604
229.351293,-2510.4837,231.172278,-2464.167924
229.351293,-2510.4837,360.019724,-2517.58931
492.409474,-2322.473661,477.804901,-2293.697122
492.409474,-2322.473661,739.809797,-2400.795576
552.353561,-2840.90753,960.781687,-2875.693598
552.353561,-2840.90753,455.546216,-2757.755083
552.353561,-2840.90753,528.662327,-3011.466181
37.068467,-2748.196414,120.86753,-3022.123784
37.068467,-2748.196414,200.412316,-2758.15428
114.669719,-2935.166669,120.86753,-3022.123784
114.669719,-2935.166669,200.412316,-2758.15428
114.669719,-2935.166669,292.840899,-3050.274599
48.340239,-2549.820597,200.412316,-2758.15428
48.340239,-2549.820597,229.351293,-2510.4837
48.340239,-2549.820597,37.068467,-2748.196414
410.335075,-2356.777287,360.019724,-2517.58931
410.335075,-2356.777287,477.804901,-2293.697122
410.335075,-2356.777287,492.409474,-2322.473661
603.252796,-1968.431804,477.804901,-2293.697122
38.568343,-2034.930853,191.64162,-2012.769025
87.041267,-1877.022638,191.64162,-2012.769025
87.041267,-1877.022638,38.568343,-2034.930853
546.851084,-1626.937825,428.401536,-1644.13766
546.851084,-1626.937825,580.405727,-1527.665125
32.482453,-2201.87887,38.568343,-2034.930853
190.412404,-1845.010852,191.64162,-2012.769025
190.412404,-1845.010852,87.041267,-1877.022638
568.951582,-1679.320012,428.401536,-1644.13766
568.951582,-1679.320012,580.405727,-1527.665125
568.951582,-1679.320012,546.851084,-1626.937825
232.141646,-2215.47465,80.481261,-2324.921826
232.141646,-2215.47465,477.804901,-2293.697122
232.141646,-2215.47465,191.64162,-2012.769025
0.359991,-1434.76488,27.323129,-1682.98625
498.670186,-1875.375284,603.252796,-1968.431804
498.670186,-1875.375284,428.401536,-1644.13766
498.670186,-1875.375284,190.412404,-1845.010852
396.954579,-1456.842111,580.405727,-1527.665125
251.691317,-1519.874691,428.401536,-1644.13766
251.691317,-1519.874691,0.359991,-1434.76488
251.691317,-1519.874691,396.954579,-1456.842111
1002.673775,-2070.080032,1335.2594,-1970.084867
1005.182447,-1719.945688,898.423898,-1707.521563
1005.182447,-1719.945688,1143.018426,-1790.838904
969.339486,-1974.137171,1002.673775,-2070.080032
1798.272372,-2132.216272,1902.720707,-2029.610464
1206.605412,-1628.484316,1143.018426,-1790.838904
1206.605412,-1628.484316,1223.309202,-1608.435228
1454.673116,-1607.016737,1438.426429,-1545.417164
1333.803912,-2185.818381,1290.929953,-2251.64143
1333.803912,-2185.818381,1317.489196,-2278.590922
1333.803912,-2185.818381,1642.197228,-2480.755306
1733.093668,-2097.250915,1798.272372,-2132.216272
1077.188748,-1892.692462,1002.673775,-2070.080032
1077.188748,-1892.692462,1143.018426,-1790.838904
1619.756157,-1499.774433,1454.673116,-1607.016737
1813.483674,-2175.985751,1902.720707,-2029.610464
1813.483674,-2175.985751,1798.272372,-2132.216272
1813.483674,-2175.985751,1733.093668,-2097.250915
1418.42266,-1522.566943,1438.426429,-1545.417164
915.822974,-1627.408112,898.423898,-1707.521563
915.822974,-1627.408112,1005.182447,-1719.945688
915.822974,-1627.408112,898.796291,-1378.331205
1795.697724,-1602.263889,1739.757297,-1879.154958
1654.272161,-1513.221727,1619.756157,-1499.774433
1654.272161,-1513.221727,1795.697724,-1602.263889
1725.392384,-1963.607155,1902.720707,-2029.610464
1541.090734,-1832.647401,1580.959364,-1762.101168
1467.11931,-2044.910904,1704.050133,-2440.933735
1467.11931,-2044.910904,1335.2594,-1970.084867
1467.11931,-2044.910904,1541.090734,-1832.647401
1442.83428,-1634.453736,1438.426429,-1545.417164
1442.83428,-1634.453736,1223.309202,-1608.435228
1442.83428,-1634.453736,1454.673116,-1607.016737
1442.83428,-1634.453736,1580.959364,-1762.101168
1401.763268,-1748.620528,1206.605412,-1628.484316
1401.763268,-1748.620528,1580.959364,-1762.101168
1401.763268,-1748.620528,1541.090734,-1832.647401
1602.017281,-1905.992018,1733.093668,-2097.250915
1602.017281,-1905.992018,1725.392384,-1963.607155
1602.017281,-1905.992018,1541.090734,-1832.647401
1965.257643,-1844.938186,1739.757297,-1879.154958
1965.257643,-1844.938186,1795.697724,-1602.263889
1211.154116,-1827.368024,1335.2594,-1970.084867
1211.154116,-1827.368024,1143.018426,-1790.838904
