,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
133,70284.5,986.0208197,0.205432416,0.030893623,0.174538793,1.02603E+19,-31.921035,70376.89793,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
134,7099.5,539.8001661,2.483429111,1.683643465,0.799785647,1.35392E+17,75.55956999,7125.484456,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
135,69754,1030.314529,0.274325949,0.155324887,0.119001062,1.6065E+18,77.30632923,69769.78239,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
136,26418,755.1494242,1.554324031,0.352563143,1.201760888,1.53643E+18,5.137853597,26503.74771,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
137,7021.5,356.9067491,0.624034365,0.156260095,0.467774271,3.48302E+17,1.202807626,6978.75591,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
138,69009,1093.907275,0.794058134,0.304759809,0.489298324,3.21292E+18,5.51721158,69010.09503,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
139,67274,1041.046713,0.142999138,0.104582094,0.038417044,2.77765E+16,15.98621656,67376.33076,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
140,59022,993.8327896,0.401092021,0.162827854,0.238264167,5.59795E+15,8.180740994,59141.79359,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
141,30508.5,760.6448084,0.638614748,0.590720055,0.047894694,3.29106E+15,26.28488831,30463.40739,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
142,87268.5,1127.652078,0.169111186,0.06128046,0.107830726,6.25882E+18,15.52136923,87219.63126,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
143,15982.5,535.8120689,0.752781061,0.185996963,0.566784098,3.90043E+17,-2.369341692,15934.01614,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
144,41561,880.4699276,1.015886607,0.169742186,0.84614442,1.66101E+18,-0.859138893,41683.70631,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
145,54305,949.3664221,0.895257738,0.148052149,0.747205589,3.02652E+17,-25.61202414,54398.21122,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
146,65471.5,1034.442963,0.521941426,0.232633608,0.289307818,2.19962E+17,-23.15876461,65461.69757,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
147,6139,307.7792525,0.243959222,0.064950178,0.179009044,3.1235E+16,-16.74437949,6206.571222,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
148,36194.5,827.4709995,0.640456303,0.583582176,0.056874126,2.40233E+18,-12.27994939,36164.6478,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
149,19406.5,581.6366115,0.573211235,0.235041411,0.338169824,1.62475E+18,-7.978081782,19395.40704,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
150,44414.5,845.9253037,0.192080828,0.117578507,0.074502321,3.6341E+18,-29.8978066,44454.23401,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
151,11120,544.2106068,1.090957103,0.71911357,0.371843533,8.51699E+17,-33.04054759,11074.88148,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
152,17614.5,579.5727587,0.979972419,0.193511038,0.786461381,8.59307E+17,-13.89839293,17592.02709,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
153,60269.5,948.5405465,0.160894702,0.086110177,0.074784526,1.53502E+18,54.62723281,60185.3454,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
154,55357,1007.573619,0.539776181,0.32012035,0.219655832,1.67599E+18,60.79578555,55424.7358,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
155,89990.5,1153.173214,0.06577141,0.060568792,0.005202618,1.83395E+18,75.46810551,89963.60191,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
156,18062.5,661.2808581,1.074896183,0.546917678,0.527978505,3.21667E+17,70.81032522,18121.40855,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
157,43526.5,805.641304,0.140503666,0.065266665,0.075237,5.19744E+17,75.73573394,43294.92706,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
158,29008.5,714.4035566,0.245229258,0.181382461,0.063846797,2.03155E+18,49.09229734,28986.52534,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
159,70357,1039.694327,0.590779899,0.117394819,0.47338508,5.3641E+18,26.39432048,70355.24923,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
160,28767,867.5862677,1.183306194,0.875437765,0.307868429,2.53268E+18,29.32288841,28734.64112,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
161,78890,1184.910353,0.483158317,0.295161551,0.187996766,1.3882E+18,-33.324209,78705.61648,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
162,35028.5,767.2948347,0.209207946,0.174263324,0.034944622,3.34755E+17,-31.94166167,35088.89852,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
163,37900,827.7087817,0.766309385,0.483953587,0.282355798,4.27451E+17,-28.03955863,37745.76497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
164,105951,1237.112533,0.157888356,0.077728153,0.080160202,2.19794E+18,2.960781288,105926.2713,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
165,103181,1304.78489,0.487244007,0.229525396,0.257718611,1.46633E+18,9.559222367,103349.5083,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
166,53937,918.1464732,0.429781716,0.098183757,0.331597959,1.10522E+18,35.00649068,53903.55178,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
167,55609,1002.061675,1.100240949,0.293734152,0.806506797,1.1989E+18,40.48749554,55558.89966,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
168,32685.5,709.9693744,0.300002114,0.199467834,0.10053428,2.26179E+17,-15.74728539,32581.89011,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
